Replace Part * MicroUSB in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with MicroUSB from STM32_Library.IntLib
Replace Part C1 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C2 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C3 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C4 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C5 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C6 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part C7 Cap in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Cap from Miscellaneous Devices.IntLib
Replace Part D? Diode in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Diode from Miscellaneous Devices.IntLib
Replace Part R1 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R2 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R3 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R4 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R5 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R6 Res3 in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part S1 SW-PB in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with SW-PB from Miscellaneous Devices.IntLib
Replace Part Y1 XTAL in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with XTAL from Miscellaneous Devices.IntLib
Replace Part Y2 XTAL in Z:\User\Desktop\car_project\PCB\PyBoard_PCB.SchDoc with XTAL from Miscellaneous Devices.IntLib
